city_combined,country
oranjestad|tanki leendert,Aruba
sydney|melbourne|brisbane|perth|adelaide|canberra|gold coast|cranbourne|newcastle|wollongong|geelong|hobart|townsville|ipswich|cairns|darwin|toowoomba|ballarat|caloundra|campbelltown|leopold|corinda|bendigo|launceston|mackay|rockhampton|maitland|bunbury|coffs harbour|bundaberg|wagga wagga|hervey bay|shepparton|albury|port macquarie|pakenham|tamworth|orange|dubbo|bathurst|geraldton|sunbury|nowra|frankston|warrnambool|queanbeyan|wodonga|albany|gladstone|mildura|southport|dandenong|alice springs|mount gambier|kalgoorlie|lismore|quakers hill|ballina|taree|gawler|maryborough|caboolture|traralgon|armidale|busselton|goulburn|cessnock|devonport|whyalla|bacchus marsh|gympie|griffith|grafton|kwinana|burnie|yeppoon|wangaratta|mount eliza|murray bridge|narangba|mount isa|broken hill|banora point|nerang|lara|horsham|mount barker|port lincoln|karratha|singleton|warwick|echuca|ulladulla|kempsey|ulverstone|barwon heads|australind|sale|rochedale|port pirie|morwell|warragul|broome|port augusta|penrith|forster|goonellabah|port hedland|torquay|emerald|gisborne|lithgow|rutherford|bowral|jimboomba|colac|dalby|raymond terrace|esperance|muswellbrook|nelson bay|inverell|parkes|drouin|swan hill|nambour|somerville|kingston|casino|mudgee|mareeba|batemans bay|gracemere|samford|portland|young|kingaroy|kangaroo flat|mount evelyn|bentley|cowra|hamilton|bowen|andergrove|moree|gunnedah|leeton|mittagong|tweed heads|benalla|emu plains|wallan|currumbin|bli bli|moss vale|clifton springs|katoomba|wollert|kelso|merrimac|ayr|ararat|charters towers|rye|moe|deniliquin|darley|moranbah|forbes|springwood|highfields|innisfail|mooroopna|narrabri|kingscliff|lesmurdie|kilmore|yarrawonga|bargara|kiama|bongaree|sanctuary point|kyabram|healesville|melton|burpengary|narre warren north|mandurah|kyneton|fremantle|collie|north tamborine|murwillumbah|cootamundra|bairnsdale|urraween|castlemaine|blaxland|lennox head|bomaderry|atherton|tuncurry|strathalbyn|seymour|cannington|wauchope|helensburgh|yass|gatton|kurri kurri|cooma|nuriootpa|tumut|cannonvale|point vernon|nambucca heads|wynyard|north mackay|roma|stawell|beerwah|northam|mount cotton|alstonville|margaret river|glen innes|yamba|waterford|gordonvale|kiama downs|pottsville|chinchilla|lysterfield|cooranbong|wentworth falls|scone|beaudesert|dromana|south grafton|kununurra|naracoorte|corowa|woolgoolga|goondiwindi|cobram|maffra|tahmoor|woodend|inverloch|whittlesea|richmond|new norfolk|east ballina|biloela|worragee|wingham|leongatha|palmwoods|dunsborough|irymple|red cliffs|bannockburn|glenbrook|smithfield heights|sarina|byron bay|wonthaggi|ocean shores|berri|howard springs|tannum sands|victor harbor|ingham|manjimup|carnarvon|smithton|narrogin|newman|merimbula|katanning|weipa|wallaroo|central coast|proserpine|port douglas|clare|tom price|charleville|cloncurry|bordertown|longreach|merredin|scottsdale|bourke|exmouth|queenstown|wagin|kingston south east|tumby bay|kalbarri|port denison|penola|streaky bay|halls creek|peterborough|ouyen|katherine|barcaldine|cowell|meningie|hughenden|meekatharra|yulara|wyndham|roebourne|bicheno|winton|oatlands|leonora|gingin|wilcannia|onslow|laverton|morawa|southern cross|norseman|ravensthorpe|eidsvold|pannawonica|kimba|mount magnet|three springs|theodore|karumba|andamooka|georgetown|boulia|adelaide river|burketown|ivanhoe|thargomindah|pine creek|camooweal|birdsville|bedourie|windorah|kingoonya|yanchep|stanthorpe|bullsbrook|mcminns lagoon|ceduna|quilpie|woomera,Australia
vienna|graz|linz|salzburg|innsbruck|klagenfurt|bregenz|mödling|modling|hall in tirol|eisenstadt|sankt pölten|sankt polten|wels|dornbirn|wiener neustadt|steyr|leonding|klosterneuburg|traun|wolfsberg|krems an der donau|leoben|amstetten|lustenau|kapfenberg|hallein|kufstein|traiskirchen|schwechat|stockerau|braunau am inn|hohenems|saalfelden am steinernen meer|ansfelden|bruck an der mur|perchtoldsdorf|telfs|spittal an der drau|bludenz|ternitz|wörgl|worgl|feldkirchen|korneuburg|hard|bad ischl|marchtrenk|schwaz|feldbach|knittelfeld|neunkirchen|brunn am gebirge|gmunden|vöcklabruck|vocklabruck|sankt veit an der glan|leibnitz|lienz|rankweil|ried im innkreis|enns|götzis|gotzis|bad vöslau|bad voslau|weiz|gänserndorf|ganserndorf|hollabrunn|deutschlandsberg|mistelbach|gerasdorf bei wien|waidhofen an der ybbs|sankt johann im pongau|groß-enzersdorf|gross-enzersdorf|trofaiach|ebreichsdorf|gleisdorf|völkermarkt|volkermarkt|wiener neudorf|zwettl|strasshof an der nordbahn|lauterach|bischofshofen|imst|maria enzersdorf|köflach|koflach|rum|laakirchen|judenburg|sankt andrä|sankt andra|purkersdorf|zell am see|altmünster|altmunster|guntramsdorf|voitsberg|attnang-puchheim|sierning|sankt johann in tirol|sankt valentin|wolfurt|velden am wörthersee|velden am worthersee|engerwitzdorf|deutsch-wagram|langenzersdorf|mürzzuschlag|murzzuschlag|stainz|fürstenfeld|furstenfeld|perg|wattens|freistadt|neulengbach|kitzbühel|kitzbuhel|höchst|hochst|neusiedl am see|zirl|seiersberg|liezen|bruck an der leitha|landeck|pasching|kindberg|gratkorn|sankt andrä vor dem hagenthale|sankt andra vor dem hagenthale|kottingbrunn|zeltweg|herzogenburg|völs|vols|altach|fohnsdorf|mattighofen|oberwart|ebensee|gallneukirchen|langenlois|pressbaum|vösendorf|vosendorf|sieghartskirchen|vorchdorf|mattersburg|jenbach|strasswalchen|grödig|grodig|fehring|himberg|bad goisern|kuchl|kalsdorf bei graz|wolkersdorf im weinviertel|hitzendorf|absam|pottendorf|ferlach|arnoldstein|feldkirchen bei graz|eugendorf|oberndorf bei salzburg|hörbranz|horbranz|bad hofgastein|hartberg|garsten|hainburg an der donau|reutte|eggersdorf bei graz|asten|kremsmünster|kremsmunster|frohnleiten|wilhelmsburg|horn|schladming|neuhofen an der krems|seeboden|eibiswald|neumarkt am wallersee|traismauer|laa an der thaya|hörsching|horsching|axams|markt sankt florian|wagna|lochau|nenzing|unterpremstätten|unterpremstatten|kirchbichl|gloggnitz|gunskirchen|pöllau|pollau|gnas|wildon|wilhering|alkoven|breitenfurth bei wien|thalgau|timelkam|pinkafeld|micheldorf in oberösterreich|micheldorf in oberosterreich|eberndorf|radenthein|ybbs an der donau|paternion|abtenau|thalheim bei wels|leopoldsdorf|fischamend|wernberg|tamsweg|melk|bergheim|ebbs|hopfgarten im brixental|schwertberg|elsbethen|haag|spielberg bei knittelfeld|waidhofen an der thaya|lenzing|gmünd|gmund|poysdorf|lieboch|sollenau|feldkirchen an der donau|schrems|pregarten|zistersdorf|bad gleichenberg|sankt ruprecht an der raab|grieskirchen|schärding|scharding|mittersill|bad hall|ohlsdorf|stadl-paura|pettenbach|krieglach|andorf|kirchberg in tirol|rottenmann|gramastetten|sankt peter in der au markt|böheimkirchen|boheimkirchen|vomp|admont|hafendorf,Austria
baku|sumqayıt|sumqayit|gəncə|ganca|mingəçevir|mingacevir|xırdalan|xirdalan|naxçıvan|naxcivan|şəki|saki|yevlax|m ə. rəsulzadə|m.a. rasulzada|lənkəran|lankaran|şəmkir|samkir|xaçmaz|xacmaz|ağcabədi|agcabadi|bərdə|barda|göyçay|goycay|zaqatala|imişli|imisli|salyan|ağdaş|agdas|cəlilabad|calilabad|hacı zeynalabdin|haci zeynalabdin|biləsuvar|bilasuvar|hacıqabul|haciqabul|quba|ismayıllı|ismayilli|ağsu|agsu|ağstafa|agstafa|əhmədli|ahmadli|siyəzən|siyazan|sabirabad|saatlı|saatli|füzuli|fuzuli|astara|kürdəmir|kurdamir|göygöl|goygol|masallı|masalli|neftçala|neftcala|qusar|tovuz|tərtər|tartar|beyləqan|beylaqan|qax|daşkəsən|daskasan|ordubad|naftalan|lerik|zərdab|zardab|balakən|balakan|qobustan|yardımlı|yardimli|goranboy|oğuz|oguz|cəbrayıl|cabrayil|qubadlı|qubadli|gədəbəy|gadabay|şuşa|susa|ağdam|agdam|laçın|lacin|xocalı|xocali|heydərabad|heydarabad|ucar|qazax|şərur|sarur|qəbələ|qabala|samux|dəvəçi|davaci|qıvraq|qivraq|kəlbəcər|kalbacar|xocavənd|xocavand|şahbuz|sahbuz|xızı|xizi|qaraçuxur|qaracuxur|şirvan|sirvan|xankəndi|xankandi|maştağa|mastaga|qəzyan|qazyan|lökbatan|lokbatan|buzovna|əmircan|amircan|şamaxı|samaxi|corat|pirallahı|pirallahi|ələt|alat|culfa|qazmalar|xudat|qovlar|göytəpə|goytapa|aşağı ayıblı|asagi ayibli|liman|ağdərə|agdara|kiş|kis|babək|babak,Azerbaijan
nassau|freeport city|marsh harbour,"Bahamas, The"
manama|al muḩarraq|al muharraq|madīnat ḩamad|madinat hamad|madīnat ‘īsá|madinat `isa,Bahrain
dhaka|chattogram|khulna|sylhet|rājshāhi|rajshahi|mymensingh|barishal|comilla|rangpur|brāhmanbāria|brahmanbaria|jessore|nārāyanganj|narayanganj|saidpur|narsingdi|tāngāil|tangail|jamālpur|jamalpur|nawābganj|nawabganj|pābna|pabna|harinākunda|harinakunda,Bangladesh
bridgetown,Barbados
minsk|homyel’|homyel'|vitsyebsk|mahilyow|hrodna|brest|babruysk|baranavichy|horad barysaw|pinsk|orsha|mazyr|lida|salihorsk|navapolatsk|maladzyechna|polatsk|svyetlahorsk|slutsk|kobryn|slonim|vawkavysk|kalinkavichy|smarhon’|smarhon'|horki|asipovichy|dzyarzhynsk|byaroza|navahrudak|vilyeyka|krychaw|luninyets|mar’’ina horka|mar''ina horka|pastavy|pruzhany|dobrush|hlybokaye|zaslawye|fanipal’|fanipal'|stowbtsy|ashmyany|ivanava|klimavichy|lahoysk|masty|drahichyn|astravyets|khoyniki|stolin|malaryta|mikashevichy|novalukoml’|novalukoml'|haradok|lyuban’|lyuban'|klyetsk|byerazino|staryya darohi|byelaazyorsk|uzda|baran’|baran'|kapyl’|kapyl'|mstsislaw|skidal’|skidal'|byarozawka|valozhyn|pyetrykaw|byalynichy|talachyn|braslaw|buda-kashalyova|krupki|vyetka|narowlya|kamyanyets|kirawsk|dzyatlava|slawharad|cherykaw|myory|kruhlaye|syanno|iwye|klichaw|myadzyel|vyerkhnyadzvinsk|dubrowna|svislach|davyd-haradok,Belarus
brussels|antwerp|gent|charleroi|liège|liege|anderlecht|bruges|namur|moortebeek|mechelen|forest|etterbeek|jette|evere|vilvoorde|wilrijk|koekelberg|ganshoren|sint-joost-ten-node|mortsel|saint-nicolas|ekeren|assebroek|boom|wondelgem|drogenbos|mons|aalst|la louvière|la louviere|sint-niklaas|hasselt|seraing|roeselare|beveren|dendermonde|heist-op-den-berg|lokeren|herstal|braine-l’alleud|braine-l'alleud|halle|ninove|mechelen-aan-de-maas|lierre|mol|schoten|ieper|zaventem|sint-pieters-leeuw|menen|binche|geraardsbergen|knokke-heist|asse|louvain-la-neuve|wevelgem|waterloo|oudenaarde|deinze|temse|arlon|brecht|ans|herentals|harelbeke|andenne|soignies|kapellen|willebroek|ronse|flémalle-haute|flemalle-haute|tubize|lanaken|wetteren|beersel|maaseik|westerlo|merelbeke|zwevegem|manage|diest|maldegem|oostkamp|zemst|nijlen|balen|zedelgem|tervuren|rixensart|frameries|lochristi|herent|kontich|bornem|hoogstraten|eeklo|sint-katelijne-waver|wuustwezel|boussu|tielt|schilde|zwijndrecht|poperinge|eupen|sint-gillis-waas|diepenbeek|lede|bredene|londerzeel|sint-genesius-rode|wervik|lessines|stekene|wemmel|puurs|fléron|fleron|neerpelt|aubange|dour|rotselaar|sint-kruis|riemst|lille|machelen|landen|bastogne|rumst|genappe|berlare|amay|lubbeek|kuurne|liedekerke|wanze|oosterzele|couvin|blegny|beyne-heusay|zelzate|grez-doiceau|keerbergen|esneux|olen|herk-de-stad|de haan|gerpinnes|niel|nevele|farciennes|kampenhout|rijkevorsel|vosselaar|chaumont-gistoux|veurne|de panne|grobbendonk|florennes|retie|écaussinnes-lalaing|ecaussinnes-lalaing|de pinte|villers-la-ville|braine-le-château|braine-le-chateau|borgloon|court-saint-étienne|court-saint-etienne|raeren|welkenraedt|houthulst|wielsbeke|hoeselt|chimay|halen|awans|oudenburg|gooik|la bruyère|la bruyere|sint-martens-lennik|sint-martens-latem|sint-amands|koekelare|dentergem|kortessem|zomergem|zoutleeuw|gingelom|trooz|habay-la-vieille|messancy|vorselaar|antoing|wachtebeke|zingem|chastre-villeroux-blanmont|ruisbroek|neufchâteau|neufchateau|beauvechain|stavelot|beaumont|saint-georges|hensies|quiévrain|quievrain|ittre|villers-le-bouillet|ramillies-offus|bekkevoort|lendelede|hastière-par-delà|hastiere-par-dela|desselgem|étalle|etalle|butgenbach|hotton|attert|incourt|amblève|ambleve|nassogne|glabbeek-zuurbemde|léglise|leglise|momignies|houffalize|gouvy|chiny,Belgium
belmopan|belize city|orange walk|san ignacio|dangriga|corozal|punta gorda|san pedro|ladyville,Belize
cotonou|porto-novo|djougou|parakou|kandi|lokossa|ouidah|abomey|natitingou|dogbo|sakété|sakete|savalou|savé|save,Benin
hamilton,Bermuda
thimphu|paro|wangdue phodrang|punakha|samtse|tsirang|mongar|haa|samdrup jongkhar|sarpang|trashigang|pemagatshel|tsimasham|trashi yangtse|trongsa|zhemgang|lhuentse|jakar|daga|gasa,Bhutan
santa cruz|la paz|sucre|cochabamba|oruro|warnes|potosí|potosi|tarija|sacaba|quillacollo|montero|trinidad|cobija|riberalta|villa tunari|puerto villarroel|villamontes|guayaramerín|guayaramerin|camiri|tiquipaya|viacha|bermejo|llallagua|villazón|villazon|uyuni|san borja|san ignacio de velasco|tupiza|patacamaya|puerto suárez|puerto suarez|capinota|san josé de chiquitos|san jose de chiquitos|vallegrande|mapiri|portachuelo|comarapa|punata|villa yapacaní|villa yapacani|ascensión|ascension|vinto|chulumani|santa ana de yacuma|rurrenabaque|torotoro|puerto quijarro|roboré|robore|challapata|achacachi|aiquile|reyes|cliza|charagua|san ramón|san ramon|san carlos|uncia|camargo|sicasica|magdalena|samaipata|padilla|tarabuco|baures|coroico|sorata|cuevo|san matías|san matias|betanzos|san javier|apolo|quime|san lorenzo|entre ríos|entre rios|corocoro|san rafael|puerto acosta|sabaya|llica|charaña|charana|villa martín colchak|villa martin colchak|puerto heath|piso firme,Bolivia
sarajevo|banja luka|mostar|bijeljina|tuzla|brčko|brcko|prijedor|zenica|doboj|zvornik|sanski most|lukavac|bihać|bihac|bugojno|žepče|zepce|trebinje|bosanska krupa|čapljina|capljina|breza|derventa|goražde|gorazde|foča|foca|sapna|jablanica|vareš|vares|livno|bosanski petrovac|mrkonjić grad|mrkonjic grad|drvar|velika kladuša|velika kladusa|višegrad|visegrad|tomislavgrad,Bosnia And Herzegovina
gaborone|francistown|molepolole|maun|selibe phikwe|serowe|kanye|mochudi|lobatse|tshabong|kasane|ghanzi|ramotswa|masunga|sowa town|jwaneng|mahalapye|palapye|lekala|gweta|nata|mopipi|lehututu|nokaneng|lokwabe|tsau|muhembo,Botswana
